,Entity,EntityName,EntityType,EntityLabel,EntityLabel (Short),EntityLabel (Extended),use_in_alignment
1867,obo.DOID_0080065,DOID_0080065,class,AutosomalRecessiveSpinocerebellarAtaxia19,autosomal recessive spinocerebellar ataxia19,ataxia autosomal recessive spinocerebellar,True
1868,obo.DOID_0080066,DOID_0080066,class,AutosomalRecessiveSpinocerebellarAtaxia20,autosomal recessive spinocerebellar ataxia20,ataxia autosomal recessive spinocerebellar,True
1869,obo.DOID_0080067,DOID_0080067,class,Charcot-marie-toothDiseaseType5,charcot-marie-tooth disease type5,charcot-marie-tooth disease feature hereditary motor neuropathy pyramidal sensory type,True
1870,obo.DOID_0080068,DOID_0080068,class,Charcot-marie-toothDiseaseType6,charcot-marie-tooth disease type6,charcot-marie-tooth disease hereditary motor neuropathy sensory type,True
1871,obo.DOID_0080069,DOID_0080069,class,Charcot-marie-toothDiseaseType7,charcot-marie-tooth disease type7,charcot-marie-tooth disease type,True
1872,obo.DOID_0080070,DOID_0080070,class,Inclusion-cellDisease,inclusion-cell disease,disease i-cell ii inclusion-cell mucolipidosis,True
1873,obo.DOID_0080071,DOID_0080071,class,Pseudo-hurlerPolydystrophy,pseudo-hurler polydystrophy,iii mucolipidosis polydystrophy pseudo-hurler,True
1874,obo.DOID_0080072,DOID_0080072,class,NeuronalIntestinalDysplasia,neuronal intestinal dysplasia,dysplasia intestinal neuronal,True
1875,obo.DOID_5353,DOID_5353,class,ColonicDisease,colonic disease,colonic disease,True
1876,obo.DOID_0080073,DOID_0080073,class,SpinaBifidaOcculta,spina bifida occulta,bifida occulta spina,True
1877,obo.DOID_0080075,DOID_0080075,class,Neu-laxovaSyndrome2,neu-laxova syndrome2,neu-laxova syndrome,True
1878,obo.DOID_0080076,DOID_0080076,class,Neu-laxovaSyndrome1,neu-laxova syndrome1,neu-laxova syndrome,True
1879,obo.DOID_0080077,DOID_0080077,class,HypophosphatemicNephrolithiasis/osteoporosis1,hypophosphatemic nephrolithiasis/osteoporosis1,hypophosphatemic nephrolithiasis osteoporosis,True
1880,obo.DOID_11705,DOID_11705,class,ImpairedRenalFunctionDisease,impaired renal function disease,disease function impaired renal,False
1881,obo.DOID_0080078,DOID_0080078,class,HypophosphatemicNephrolithiasis/osteoporosis2,hypophosphatemic nephrolithiasis/osteoporosis2,hypophosphatemic nephrolithiasis osteoporosis,True
1882,obo.DOID_0080079,DOID_0080079,class,NonsyndromicCongenitalNailDisorder1,nonsyndromic congenital nail disorder1,congenital disorder dystrophy nail nonsyndromic twenty-nail,True
1883,obo.DOID_4123,DOID_4123,class,NailDisease,nail disease,disease nail,True
1884,obo.DOID_0080080,DOID_0080080,class,NonsyndromicCongenitalNailDisorder2,nonsyndromic congenital nail disorder2,congenital disorder nail nonsyndromic,True
1885,obo.DOID_0080081,DOID_0080081,class,NonsyndromicCongenitalNailDisorder3,nonsyndromic congenital nail disorder3,congenital disorder nail nonsyndromic,True
1886,obo.DOID_0080082,DOID_0080082,class,NonsyndromicCongenitalNailDisorder4,nonsyndromic congenital nail disorder4,congenital disorder nail nonsyndromic,True
1887,obo.DOID_0080083,DOID_0080083,class,NonsyndromicCongenitalNailDisorder5,nonsyndromic congenital nail disorder5,congenital disorder nail nonsyndromic,True
1888,obo.DOID_0080084,DOID_0080084,class,NonsyndromicCongenitalNailDisorder6,nonsyndromic congenital nail disorder6,congenital disorder nail nonsyndromic,True
1889,obo.DOID_0080085,DOID_0080085,class,NonsyndromicCongenitalNailDisorder7,nonsyndromic congenital nail disorder7,congenital disorder nail nonsyndromic,True
1890,obo.DOID_0080086,DOID_0080086,class,NonsyndromicCongenitalNailDisorder8,nonsyndromic congenital nail disorder8,congenital disorder nail nonsyndromic,True
1891,obo.DOID_0080087,DOID_0080087,class,NonsyndromicCongenitalNailDisorder9,nonsyndromic congenital nail disorder9,congenital disorder nail nonsyndromic,True
1892,obo.DOID_0080088,DOID_0080088,class,NonsyndromicCongenitalNailDisorder10,nonsyndromic congenital nail disorder10,congenital disorder nail nonsyndromic,True
1893,obo.DOID_0080089,DOID_0080089,class,TubularAggregateMyopathy,tubular aggregate myopathy,aggregate myopathy tubular,True
1894,obo.DOID_0080090,DOID_0080090,class,ReducingBodyMyopathy,reducing body myopathy,body myopathy reduce,True
1895,obo.DOID_0080091,DOID_0080091,class,SpheroidBodyMyopathy,spheroid body myopathy,body myopathy spheroid,True
1896,obo.DOID_0080092,DOID_0080092,class,MyofibrillarMyopathy1,myofibrillar myopathy1,desminopathy myofibrillar myopathy,True
1897,obo.DOID_0080093,DOID_0080093,class,MyofibrillarMyopathy2,myofibrillar myopathy2,alpha-b crystallinopathy myofibrillar myopathy,True
1898,obo.DOID_0080094,DOID_0080094,class,MyofibrillarMyopathy3,myofibrillar myopathy3,myofibrillar myopathy myotilinopathy,True
1899,obo.DOID_0080095,DOID_0080095,class,MyofibrillarMyopathy4,myofibrillar myopathy4,myofibrillar myopathy zaspopathy,True
1900,obo.DOID_0080096,DOID_0080096,class,MyofibrillarMyopathy5,myofibrillar myopathy5,filaminopathy myofibrillar myopathy,True
1901,obo.DOID_0080097,DOID_0080097,class,MyofibrillarMyopathy6,myofibrillar myopathy6,myofibrillar myopathy,True
1902,obo.DOID_0080098,DOID_0080098,class,MyofibrillarMyopathy7,myofibrillar myopathy7,alpha-b crystalin-related fatal hypertonic infantile myofibrillar myopathy,True
1903,obo.DOID_0080099,DOID_0080099,class,"Myopathy,LacticAcidosis,sideroblasticAnemia","myopathy, lactic acidosis,sideroblastic anemia",acidosis anemia lactic myopathy sideroblastic,True
1904,obo.DOID_0080100,DOID_0080100,class,CongenitalMyopathy,congenital myopathy,congenital myopathy,True
1905,obo.DOID_0080101,DOID_0080101,class,Compton-northCongenitalMyopathy,compton-north congenital myopathy,compton-north congenital myopathy,True
1906,obo.DOID_0080102,DOID_0080102,class,CongenitalFiber-typeDisproportion,congenital fiber-type disproportion,congenital disproportion fiber-type,True
1907,obo.DOID_0080103,DOID_0080103,class,CylindricalSpiralsMyopathy,cylindrical spirals myopathy,cylindrical myopathy spiral,True
1908,obo.DOID_0080105,DOID_0080105,class,Microcephalychorioretinopathy1,microcephalychorioretinopathy1,chorioretinopathy microcephaly,True
1909,obo.DOID_0080106,DOID_0080106,class,Microcephalychorioretinopathy2,microcephalychorioretinopathy2,chorioretinopathy microcephaly,True
1910,obo.DOID_0080107,DOID_0080107,class,Microcephalychorioretinopathy3,microcephalychorioretinopathy3,chorioretinopathy microcephaly,True
1911,obo.DOID_0080108,DOID_0080108,class,Myoglobinuria,myoglobinuria,myoglobinuria,True
1912,obo.DOID_0080109,DOID_0080109,class,InfantileMyofibromatosis,infantile myofibromatosis,infantile myofibromatosis,True
1913,obo.DOID_0080110,DOID_0080110,class,MultiplePterygiumSyndrome,multiple pterygium syndrome,multiple pterygium syndrome,True
1914,obo.DOID_0080111,DOID_0080111,class,MitochondrialComplexIiiDeficiencyNuclearType1,mitochondrial complex iii deficiency nuclear type1,complex deficiency iii mitochondrial nuclear type,True
1915,obo.DOID_0080112,DOID_0080112,class,MitochondrialComplexIiiDeficiencyNuclearType3,mitochondrial complex iii deficiency nuclear type3,complex deficiency iii mitochondrial nuclear type,True
1916,obo.DOID_0080113,DOID_0080113,class,MitochondrialComplexIiiDeficiencyNuclearType4,mitochondrial complex iii deficiency nuclear type4,complex deficiency iii mitochondrial nuclear type,True
1917,obo.DOID_0080114,DOID_0080114,class,MitochondrialComplexIiiDeficiencyNuclearType5,mitochondrial complex iii deficiency nuclear type5,complex deficiency iii mitochondrial nuclear type,True
1918,obo.DOID_0080115,DOID_0080115,class,MitochondrialComplexIiiDeficiencyNuclearType6,mitochondrial complex iii deficiency nuclear type6,complex deficiency iii mitochondrial nuclear type,True
1919,obo.DOID_0080116,DOID_0080116,class,MitochondrialComplexIiiDeficiencyNuclearType7,mitochondrial complex iii deficiency nuclear type7,complex deficiency iii mitochondrial nuclear type,True
1920,obo.DOID_0080117,DOID_0080117,class,MitochondrialComplexIiiDeficiencyNuclearType8,mitochondrial complex iii deficiency nuclear type8,complex deficiency iii mitochondrial nuclear type,True
1921,obo.DOID_0080118,DOID_0080118,class,MitochondrialComplexIiiDeficiencyNuclearType9,mitochondrial complex iii deficiency nuclear type9,complex deficiency iii mitochondrial nuclear type,True
1922,obo.DOID_0080119,DOID_0080119,class,MitochondrialDnaDepletionSyndrome1,mitochondrial dna depletion syndrome1,depletion dna mitochondrial syndrome,True
1923,obo.DOID_0080120,DOID_0080120,class,MitochondrialDnaDepletionSyndrome2,mitochondrial dna depletion syndrome2,depletion dna mitochondrial syndrome,True
1924,obo.DOID_0080121,DOID_0080121,class,MitochondrialDnaDepletionSyndrome3,mitochondrial dna depletion syndrome3,depletion dna mitochondrial syndrome,True
1925,obo.DOID_0080122,DOID_0080122,class,MitochondrialDnaDepletionSyndrome4a,mitochondrial dna depletion syndrome4a,4a depletion dna mitochondrial syndrome,True
1926,obo.DOID_0080123,DOID_0080123,class,MitochondrialDnaDepletionSyndrome4b,mitochondrial dna depletion syndrome4b,4b depletion dna mitochondrial syndrome,True
1927,obo.DOID_0080124,DOID_0080124,class,MitochondrialDnaDepletionSyndrome5,mitochondrial dna depletion syndrome5,depletion dna mitochondrial syndrome,True
1928,obo.DOID_0080125,DOID_0080125,class,MitochondrialDnaDepletionSyndrome6,mitochondrial dna depletion syndrome6,depletion dna mitochondrial syndrome,True
1929,obo.DOID_0080126,DOID_0080126,class,MitochondrialDnaDepletionSyndrome7,mitochondrial dna depletion syndrome7,depletion dna mitochondrial syndrome,True
1930,obo.DOID_0080127,DOID_0080127,class,MitochondrialDnaDepletionSyndrome8a,mitochondrial dna depletion syndrome8a,8a depletion dna mitochondrial syndrome,True
1931,obo.DOID_0080128,DOID_0080128,class,MitochondrialDnaDepletionSyndrome9,mitochondrial dna depletion syndrome9,depletion dna mitochondrial syndrome,True
1932,obo.DOID_0080129,DOID_0080129,class,MitochondrialDnaDepletionSyndrome11,mitochondrial dna depletion syndrome11,depletion dna mitochondrial syndrome,True
1933,obo.DOID_0080130,DOID_0080130,class,MitochondrialDnaDepletionSyndrome12,mitochondrial dna depletion syndrome12,depletion dna mitochondrial syndrome,True
1934,obo.DOID_0080131,DOID_0080131,class,MitochondrialDnaDepletionSyndrome13,mitochondrial dna depletion syndrome13,depletion dna mitochondrial syndrome,True
1935,obo.DOID_0080132,DOID_0080132,class,SengersSyndrome,sengers syndrome,depletion dna mitochondrial sengers syndrome,True
1936,obo.DOID_0080133,DOID_0080133,class,MultipleMitochondrialDysfunctionsSyndrome1,multiple mitochondrial dysfunctions syndrome1,dysfunction mitochondrial multiple syndrome,True
1937,obo.DOID_0080134,DOID_0080134,class,MultipleMitochondrialDysfunctionsSyndrome2,multiple mitochondrial dysfunctions syndrome2,dysfunction mitochondrial multiple syndrome,True
1938,obo.DOID_0080135,DOID_0080135,class,MultipleMitochondrialDysfunctionsSyndrome3,multiple mitochondrial dysfunctions syndrome3,dysfunction mitochondrial multiple syndrome,True
1939,obo.DOID_0080136,DOID_0080136,class,MultipleMitochondrialDysfunctionsSyndrome4,multiple mitochondrial dysfunctions syndrome4,dysfunction mitochondrial multiple syndrome,True
1940,obo.DOID_0080137,DOID_0080137,class,MultipleEndocrineNeoplasiaType4,multiple endocrine neoplasia type4,endocrine iv multiple neoplasia type,True
1941,obo.DOID_0080138,DOID_0080138,class,MultipleCongenitalAnomalies-hypotonia-seizuresSyndrome1,multiple congenital anomalies-hypotonia-seizures syndrome1,anomalies-hypotonia-seizures congenital multiple syndrome,True
1942,obo.DOID_0080139,DOID_0080139,class,MultipleCongenitalAnomalies-hypotonia-seizuresSyndrome2,multiple congenital anomalies-hypotonia-seizures syndrome2,anomalies-hypotonia-seizures congenital multiple syndrome,True
1943,obo.DOID_0080140,DOID_0080140,class,MultipleCongenitalAnomalies-hypotonia-seizuresSyndrome3,multiple congenital anomalies-hypotonia-seizures syndrome3,anomalies-hypotonia-seizures congenital multiple syndrome,True
1944,obo.DOID_0080141,DOID_0080141,class,MosaicVariegatedAneuploidySyndrome1,mosaic variegated aneuploidy syndrome1,aneuploidy mosaic syndrome variegate,True
1945,obo.DOID_0080142,DOID_0080142,class,MosaicVariegatedAneuploidySyndrome2,mosaic variegated aneuploidy syndrome2,aneuploidy mosaic syndrome variegate,True
1946,obo.DOID_0080143,DOID_0080143,class,CongenitalFibrosisOfTheExtraocularMuscles,congenital fibrosis of the extraocular muscles,congenital extraocular fibrosis muscle syndrome tukel,True
1947,obo.DOID_1279,DOID_1279,class,OcularMotilityDisease,ocular motility disease,disease motility ocular,True
1948,obo.DOID_0080144,DOID_0080144,class,ChildhoodAcuteLymphocyticLeukemia,childhood acute lymphocytic leukemia,acute childhood leukemia lymphoblastic lymphocytic,True
1949,obo.DOID_9952,DOID_9952,class,AcuteLymphocyticLeukemia,acute lymphocytic leukemia,acute leukemia lymphoblastic lymphocytic,True
1950,obo.DOID_0080145,DOID_0080145,class,T-cellChildhoodAcuteLymphocyticLeukemia,t-cell childhood acute lymphocytic leukemia,acute childhood leukemia lymphocytic t-cell,True
1951,obo.DOID_0080146,DOID_0080146,class,B-cellChildhoodAcuteLymphoblasticLeukemia,b-cell childhood acute lymphoblastic leukemia,acute b-cell childhood leukemia lymphoblastic,True
1952,obo.DOID_0080147,DOID_0080147,class,LymphoblasticLymphoma,lymphoblastic lymphoma,lymphoblastic lymphoma,True
1953,obo.DOID_0080148,DOID_0080148,class,T-cellChildhoodLymphoblasticLymphoma,t-cell childhood lymphoblastic lymphoma,childhood lymphoblastic lymphoma t-cell,True
1954,obo.DOID_0080149,DOID_0080149,class,AdultAcuteMonocyticLeukemia,adult acute monocytic leukemia,acute adult leukemia monocytic,True
1955,obo.DOID_8864,DOID_8864,class,AcuteMonocyticLeukemia,acute monocytic leukemia,acute leukemia mention monocytic remission without,True
1956,obo.DOID_0080150,DOID_0080150,class,AdrenocorticotropicHormoneDeficiency,adrenocorticotropic hormone deficiency,adrenocorticotropic deficiency hormone,True
1957,obo.DOID_0080153,DOID_0080153,class,MediumChainAcyl-coaDehydrogenaseDeficiency,medium chain acyl-coa dehydrogenase deficiency,acyl-coa chain deficiency dehydrogenase medium,True
1958,obo.DOID_0080154,DOID_0080154,class,ShortChainAcyl-coaDehydrogenaseDeficiency,short chain acyl-coa dehydrogenase deficiency,acyl-coa chain deficiency dehydrogenase short,True
1959,obo.DOID_0080155,DOID_0080155,class,VeryLongChainAcyl-coaDehydrogenaseDeficiency,very long chain acyl-coa dehydrogenase deficiency,acyl-coa chain deficiency dehydrogenase long,True
1960,obo.DOID_0080156,DOID_0080156,class,X-linkedAdrenalHypoplasiaCongenita,x-linked adrenal hypoplasia congenita,adrenal congenita congenital hypoplasia x-linked,True
1961,obo.DOID_10493,DOID_10493,class,AdrenalCorticalHypofunction,adrenal cortical hypofunction,adrenal cortical hypofunction,True
1962,obo.DOID_0080158,DOID_0080158,class,HerpesSimplexVirusKeratitis,herpes simplex virus keratitis,dendritic herpes keratitis simplex virus,True
1963,obo.DOID_4677,DOID_4677,class,Keratitis,keratitis,keratitis,True
1964,obo.DOID_0080159,DOID_0080159,class,CryptococcalMeningitis,cryptococcal meningitis,cryptococcal meningitis,True
1965,obo.DOID_11608,DOID_11608,class,FungalMeningitis,fungal meningitis,fungal meningitis,True
1966,obo.DOID_0080160,DOID_0080160,class,CytomegalovirusRetinitis,cytomegalovirus retinitis,cmv cytomegalovirus retinitis,True
1967,obo.DOID_3612,DOID_3612,class,Retinitis,retinitis,retinitis,True
1968,obo.DOID_0080161,DOID_0080161,class,CutaneousCandidiasis,cutaneous candidiasis,candidiasis cutaneous,True
1969,obo.DOID_1508,DOID_1508,class,Candidiasis,candidiasis,candidiasis systemic,True
1970,obo.DOID_0080162,DOID_0080162,class,LupusNephritis,lupus nephritis,lupus nephritis,True
1971,obo.DOID_0080163,DOID_0080163,class,Otulipenia,otulipenia,autoinflammation autoinflammatory dermatosis otulin-related otulipenia panniculitis syndrome,True
1972,obo.DOID_0080164,DOID_0080164,class,"MyeloidlymphoidNeoplasmsWithEosinophiliaabnormalitiesOfPdgfra,Pdgfrb,fgfr1","myeloidlymphoid neoplasms with eosinophiliaabnormalities of pdgfra, pdgfrb,fgfr1",abnormality alpha beta eosinophilia factor fgfr1 fibroblast group growth hematologic lymphoid myeloid neoplasm neoplasms pcm1-jak2 pdgfra pdgfrb platelet-derived rearrangement receptor receptor-1,True
1973,obo.DOID_0080165,DOID_0080165,class,MyeloidlymphoidNeoplasmsAssociatedWithPdgfraRearrangement,myeloidlymphoid neoplasms associated with pdgfra rearrangement,associate lymphoid myeloid neoplasms pdgfra rearrangement,True
1974,obo.DOID_0080166,DOID_0080166,class,MyeloidNeoplasmsAssociatedWithPdgfrbRearrangement,myeloid neoplasms associated with pdgfrb rearrangement,associate lymphoid myeloid neoplasms pdgfrb rearrangement,True
1975,obo.DOID_0080167,DOID_0080167,class,MyeloidlymphoidNeoplasmsAssociatedWithFgfr1Abnormalities,myeloidlymphoid neoplasms associated with fgfr1 abnormalities,abnormality associate fgfr1 lymphoid myeloid neoplasms,True
1976,obo.DOID_0080169,DOID_0080169,class,TricuspidAtresia,tricuspid atresia,atresia tricuspid,True
1977,obo.DOID_0080170,DOID_0080170,class,NormophosphatemicFamilialTumoralCalcinosis,normophosphatemic familial tumoral calcinosis,calcinosis familial normophosphatemic tumoral,True
1978,obo.DOID_182,DOID_182,class,Calcinosis,calcinosis,calcinosis,True
1979,obo.DOID_0080171,DOID_0080171,class,EsophagealAtresia/tracheoesophagealFistula,esophageal atresia/tracheoesophageal fistula,atresia esohageal esophageal fistula tracheoesophageal without,True
1980,obo.DOID_0080172,DOID_0080172,class,ThiopurineS-methyltransferaseDeficiency,thiopurine s-methyltransferase deficiency,deficiency metabolism poor s-methyltransferase thiopurine thiopurines-1 tpmt,True
1981,obo.DOID_0080173,DOID_0080173,class,BladderExstrophy-epispadias-cloacalExstrophyComplex,bladder exstrophy-epispadias-cloacal exstrophy complex,bladder complex exstrophy exstrophy-epispadias exstrophy-epispadias-cloacal,True
1982,obo.DOID_0080174,DOID_0080174,class,BladderExstrophy,bladder exstrophy,bladder exstrophy,True
1983,obo.DOID_0080175,DOID_0080175,class,CloacalExstrophy,cloacal exstrophy,cloacal exstrophy,True
1984,obo.DOID_0080176,DOID_0080176,class,MeningococcalMeningitis,meningococcal meningitis,meningitis meningococcal,True
1985,obo.DOID_9470,DOID_9470,class,BacterialMeningitis,bacterial meningitis,bacterial meningitis,True
1986,obo.DOID_0080177,DOID_0080177,class,HepaticVeno-occlusiveDisease,hepatic veno-occlusive disease,disease hepatic veno-occlusive,True
1987,obo.DOID_272,DOID_272,class,HepaticVascularDisease,hepatic vascular disease,disease hepatic vascular,True
1988,obo.DOID_0080178,DOID_0080178,class,Mucositis,mucositis,mucositis,True
1989,obo.DOID_0080179,DOID_0080179,class,HaemophilusMeningitis,haemophilus meningitis,haemophilus meningitis,True
1990,obo.DOID_0080180,DOID_0080180,class,ZikaVirusCongenitalSyndrome,zika virus congenital syndrome,congenital infection syndrome virus zika zikv,True
1991,obo.DOID_0080181,DOID_0080181,class,PharcSyndrome,pharc syndrome,ataxia cataract hearing loss pharc pigmentosa polyneyropathy retinitis syndrome,True
1992,obo.DOID_0080182,DOID_0080182,class,MixedFibrolamellarHepatocellularCarcinoma,mixed fibrolamellar hepatocellular carcinoma,carcinoma fibrolamellar hepatocellular mixed,True
1993,obo.DOID_5015,DOID_5015,class,FibrolamellarCarcinoma,fibrolamellar carcinoma,carcinoma fibrolamellar,True
1994,obo.DOID_0080183,DOID_0080183,class,MedullaryColonCarcinoma,medullary colon carcinoma,carcinoma colon medullary,True
1995,obo.DOID_1520,DOID_1520,class,ColonCarcinoma,colon carcinoma,carcinoma colon,True
1996,obo.DOID_0080184,DOID_0080184,class,MixedMucinousnonmucinousBronchioloalveolarAdenocarcinoma,mixed mucinousnonmucinous bronchioloalveolar adenocarcinoma,adenocarcinoma bronchioloalveolar carcinoma indeterminate mixed mucinous non-mucinous nonmucinous,True
1997,obo.DOID_4926,DOID_4926,class,Bronchiolo-alveolarAdenocarcinoma,bronchiolo-alveolar adenocarcinoma,adenocarcinoma bronchiolo-alveolar invasive lung minimally,True
1998,obo.DOID_0080185,DOID_0080185,class,MucinousBronchioloalveolarAdenocarcinoma,mucinous bronchioloalveolar adenocarcinoma,adenocarcinoma bronchioloalveolar mucinous,True
1999,obo.DOID_0080186,DOID_0080186,class,NonmucinousBronchioloalveolarAdenocarcinoma,nonmucinous bronchioloalveolar adenocarcinoma,adenocarcinoma bronchioloalveolar nonmucinous,True
2000,obo.DOID_0080187,DOID_0080187,class,ChronicNeutrophilicLeukemia,chronic neutrophilic leukemia,chronic leukemia neutrophilic,True
2001,obo.DOID_1036,DOID_1036,class,ChronicLeukemia,chronic leukemia,chronic leukemia,True
2002,obo.DOID_0080188,DOID_0080188,class,ChronicMyelomonocyticLeukemia,chronic myelomonocytic leukemia,chronic leukemia myelomonocytic,True
2003,obo.DOID_0080189,DOID_0080189,class,MalignantHemangioma,malignant hemangioma,hemangioma malignant,True
2004,obo.DOID_0080190,DOID_0080190,class,MalignantEpithelioidHemangioendothelioma,malignant epithelioid hemangioendothelioma,epithelioid hemangioendothelioma malignant,True
2005,obo.DOID_0080191,DOID_0080191,class,PtenHamartomaTumorSyndrome,pten hamartoma tumor syndrome,hamartoma pten syndrome tumor,True
2006,obo.DOID_0080192,DOID_0080192,class,Relapsed/refractoryDiffuseLargeB-cellLymphoma,relapsed/refractory diffuse large b-cell lymphoma,b-cell diffuse large lymphoma refractory relapsed,True
2007,obo.DOID_0080193,DOID_0080193,class,SuperiorSemicircularCanalDehiscence,superior semicircular canal dehiscence,canal dehiscence minor mobile semicircular superior syndrome third window,True
2008,obo.DOID_2952,DOID_2952,class,InnerEarDisease,inner ear disease,disease ear inner labyrinthine,True
2009,obo.DOID_0080194,DOID_0080194,class,Carey-fineman-ziterSyndrome,carey-fineman-ziter syndrome,carey-fineman-ziter syndrome,True
2010,obo.DOID_0080195,DOID_0080195,class,Marinesco-sjogrenSyndrome,marinesco-sjogren syndrome,cerebello-lental degeneration garland-moorhouse hereditary marinesco-garland marinesco-sjogren oligophrenic syndrome,True
2011,obo.DOID_0080196,DOID_0080196,class,"MandibulofacialDysostosis,Guion-almeidaType","mandibulofacial dysostosis, guion-almeida type",dysostosis guion-almeida mandibulofacial microcephaly type,True
2012,obo.DOID_0080197,DOID_0080197,class,CongenitalMuscularDystrophyWithCataractsintellectualDisability,congenital muscular dystrophy with cataractsintellectual disability,cataract congenital disability dystrophy intellectual muscular,True
2013,obo.DOID_0080198,DOID_0080198,class,InfantileHistiocytoidCardiomyopathy,infantile histiocytoid cardiomyopathy,cardiomyopathy histiocytoid infantile,True
2014,obo.DOID_9256,DOID_9256,class,ColorectalCancer,colorectal cancer,cancer colorectal,True
2015,obo.DOID_0080200,DOID_0080200,class,BilateralRenalAplasia,bilateral renal aplasia,aplasia bilateral renal,True
2016,obo.DOID_14766,DOID_14766,class,RenalAgenesis,renal agenesis,adysplasia agenesis aplasia hereditary renal urogenital,True
2017,obo.DOID_12594,DOID_12594,class,"""pottersSyndrome""","""potters syndrome""",potter sequence syndrome,True
2018,obo.DOID_0080201,DOID_0080201,class,PetersPlusSyndrome,peters plus syndrome,anomaly-short dwarfism krause-kivlin limb peter peters-plus plus syndrome,True
2019,obo.DOID_0090001,DOID_0090001,class,FraserSyndrome,fraser syndrome,cryptophthalmos fraser malformation syndrome,True
2020,obo.DOID_0090002,DOID_0090002,class,TietzSyndrome,tietz syndrome,albinism-deafness deafness hypopigmentation syndrome tietz,True
2021,obo.DOID_0090003,DOID_0090003,class,AgenesisOfTheCorpusCallosumWithPeripheralNeuropathy,agenesis of the corpus callosum with peripheral neuropathy,agenesis agenesis-neuronopathy andermann callosum charlevoix corpus disease neuropathy peripheral syndrome,True
2022,obo.DOID_0090004,DOID_0090004,class,ProgressivePseudorheumatoidArthropathyOfChildhood,progressive pseudorheumatoid arthropathy of childhood,arthropathy childhood dysplasia progressive pseudorheumatoid spondyloepiphyseal syndrome tarda-progressive,True
2023,obo.DOID_0090005,DOID_0090005,class,Schwartz-jampelSyndrome1,schwartz-jampel syndrome1,aberfeld anomaly burton catel-hempel chondrodystrophy dwarfism dysostosis dysplasia dystrophy enchondralis facial metaepiphysaria myopathy myotonic ocular osteochondromuscular schwartz-jampel schwartz-jampel-aberfeld skeletal syndrome type,True
2024,obo.DOID_0090006,DOID_0090006,class,RenalColobomaSyndrome,renal coloboma syndrome,abnormality anomaly cakut coloboma congenital disease kidney macular nerve ocular optic papillo-renal papillorenal reflux renal renal-coloboma syndrome tract urinary vesicoureteral without,True
2025,obo.DOID_0090007,DOID_0090007,class,Immunodeficiency-centromericInstability-facialAnomaliesSyndrome,immunodeficiency-centromeric instability-facial anomalies syndrome,anomaly icf immunodeficiency-centromeric instability-facial syndrome,True
2026,obo.DOID_0090008,DOID_0090008,class,Immunodeficiency-centromericInstability-facialAnomaliesSyndrome1,immunodeficiency-centromeric instability-facial anomalies syndrome1,anomaly icf immunodeficiency-centromeric instability-facial syndrome,True
2027,obo.DOID_0090009,DOID_0090009,class,Immunodeficiency-centromericInstability-facialAnomaliesSyndrome2,immunodeficiency-centromeric instability-facial anomalies syndrome2,anomaly icf immunodeficiency-centromeric instability-facial syndrome,True
2028,obo.DOID_0090010,DOID_0090010,class,Immunodeficiency-centromericInstability-facialAnomaliesSyndrome3,immunodeficiency-centromeric instability-facial anomalies syndrome3,anomaly icf immunodeficiency-centromeric instability-facial syndrome,True
2029,obo.DOID_0090011,DOID_0090011,class,Immunodeficiency-centromericInstability-facialAnomaliesSyndrome4,immunodeficiency-centromeric instability-facial anomalies syndrome4,anomaly icf immunodeficiency-centromeric instability-facial syndrome,True
2030,obo.DOID_0090012,DOID_0090012,class,SevereCombinedImmunodeficiencyWithSensitivityToIonizingRadiation,severe combined immunodeficiency with sensitivity to ionizing radiation,artemis athabascan athabaskan combine dclre1c deficiency due immunodeficiency ionize radiation scid sensitivity severe type,True
2031,obo.DOID_0090013,DOID_0090013,class,"SevereCombinedImmunodeficiency,AutosomalRecessive,TCell-negative,BCell-negative,NkCell-positive","severe combined immunodeficiency, autosomal recessive, t cell-negative, b cell-negative, nk cell-positive",autosomal cell-negative cell-positive combine complete deficiency due immunodeficiency nk rag1-2 recessive scid severe,True
2032,obo.DOID_0090014,DOID_0090014,class,"SevereCombinedImmunodeficiency,AutosomalRecessive,TCell-negative,BCell-positive,NkCell-positive","severe combined immunodeficiency, autosomal recessive, t cell-negative, b cell-positive, nk cell-positive",autosomal b-cell cell-negative cell-positive combine immunodeficiency negative nk recessive scid severe,True
2033,obo.DOID_0090015,DOID_0090015,class,Cenani-lenzSyndactylySyndrome,cenani-lenz syndactyly syndrome,cenani-lenz syndactyly syndrome type,True
2034,obo.DOID_0090016,DOID_0090016,class,Chromosome5qDeletionSyndrome,chromosome5q deletion syndrome,5q 5q- abnormality anemia associate chromosome del deletion due isolated macrocytic myelodysplastic refractory syndrome,True
2035,obo.DOID_2361,DOID_2361,class,MacrocyticAnemia,macrocytic anemia,anemia macrocytic,True
2036,obo.DOID_0090017,DOID_0090017,class,EpidermolysisBullosaSimplexWithMuscularDystrophy,epidermolysis bullosa simplex with muscular dystrophy,bullosa dystrophy epidermolysis limb-girdle muscular simplex,True
2037,obo.DOID_0090018,DOID_0090018,class,AutosomalDominantFamilialPeriodicFever,autosomal dominant familial periodic fever,1-associated associate autosomal dominant factor familial fever hibernian necrosis periodic receptor syndrome tnf tumor,True
