,SrcEntity,TgtEntity,SrcLabel,TgtLabel,label
1311,C26934,DOID_2392,acute cystitis disease syndrome,cystitis glandular,0
1312,C4787,DOID_0050624,benign gi system neoplasm,benign gastrointestinal neoplasm system,1
1313,C35704,DOID_11213,acute conjunctivitis contagious disease infective pinkeye syndrome,acute conjunctivitis contagious,1
1314,C35264,DOID_4776,disease or syndrome,glomerulonephritis progressive rapidly,1
1315,C27996,DOID_5853,attack disease heart infarct infarction mi myocardial syndrome,infarction lateral myocardial,0
1316,C4425,DOID_2597,neoplasm of the glottis,glottis neoplasm,1
1317,C118764,DOID_10376,amblyopia disease eye lazy syndrome,amblyopia,1
1318,C6741,DOID_114,cardiac heart lipoma neoplastic process,disease heart,0
1319,C26689,DOID_13774,primary hypoadrenalism,addison adrenal chronic disease familial hypoadrenocorticism insufficiency,1
1320,C3687,DOID_13800,adenoma chromophil kidney neoplastic papillary process renal,adult conjunctivitis inclusion,0
1321,C35809,DOID_6686,achard disease syndrome,achard syndrome,1
1322,C5451,DOID_6293,cns lipoma,central lipoma nervous system,1
1323,C126344,DOID_0060706,deficiency disease itk lpfs1 lymphoproliferative syndrome,deficiency lymphoproliferative syndrome x linked xiap xlp2,0
1324,C7376,DOID_2143,diffuse malignant mesothelioma neoplastic pleura pleural process,malignant mesothelioma ovarian,0
1325,C97085,DOID_519,disease or syndrome,aortitis,1
1326,C6849,DOID_1362,accessory neoplastic paranasal process sarcoma sinus,paranasal sarcoma sinus,1
1327,C5560,DOID_7566,neoplastic process,eccrine porocarcinoma,1
1328,C9011,DOID_2658,subcutaneous cystic teratoma,cyst dermoid,1
1329,C7910,DOID_5396,prolactin secreting neoplasm of the pituitary gland,carcinoma gland malignant neoplasm pituitary produce prolactin prolactin producing tumor,1
1330,C3099,DOID_684,carcinoma of liver cells,adult carcinoma hepatocellular primary,1
1331,C61269,DOID_14504,cholesterol disease lipidosis niemann pick sphingomyelin syndrome,sphingomyelin lipidosis,1
1332,C35086,DOID_402,disease miliary syndrome tuberculosis,oral tuberculosis,0
1333,C5824,DOID_5913,lumbar neoplasm neoplastic plexus process tumor,brachial neoplasm plexus,0
1334,C6840,DOID_7868,maxillary sinus inverted schneiderian papilloma,invert maxillary papilloma sinus,1
1335,C85175,DOID_6712,artery disease mesenteric superior syndrome,anterior artery spinal syndrome,0
1336,C35089,DOID_11104,disease fever syndrome typhoid,fever spot,0
1337,C27996,DOID_5844,attack disease heart infarct infarction mi myocardial syndrome,infarction myocardial,1
1338,C4641,DOID_4863,astrocytoma of the spinal cord,astrocytoma cord spinal,1
1339,C74995,DOID_0110880,disease holoprosencephaly syndrome type,holoprosencephaly hpe4,0
1340,C7720,DOID_0050893,adenoma gallbladder neoplastic process,gallbladder adenoma,1
1341,C84270,DOID_0080166,abnormality eosinophilia fgfr1 gene lymphoid myeloid neoplasms neoplastic pcm1 jak2 pdgfra pdgfrb process rearrangement,associate lymphoid myeloid neoplasms pdgfrb rearrangement,0
1342,C4527,DOID_262,kidney hemangiopericytoma,hemangiopericytoma kidney,1
1343,C5061,DOID_2140,urethral urothelial papilloma,papilloma urethral urothelial,1
1344,C39807,DOID_4465,carcinoma cell kidney malignant mucinous neoplastic process renal spindle tubular,carcinoma cell kidney papillary renal sporadic,0
1345,C42058,DOID_5195,ganglioneuroblastoma neoplastic nodular process,ganglioneuroblastoma nervous peripheral system,0
1346,C35668,DOID_9743,background diabetic disease non proliferative retinopathy syndrome,diabetic neuropathy,0
1347,C45745,DOID_0080198,purkinje cell hamartoma,cardiomyopathy histiocytoid infantile,1
1348,C6376,DOID_2071,vulvar squamous papilloma,papilloma squamous vulvar,1
1349,C4130,DOID_4075,bile duct mucinous cystic neoplasm with an associated invasive carcinoma,bile cystadenocarcinoma duct,1
1350,C5451,DOID_6293,neoplastic process,central lipoma nervous system,1
1351,C35467,DOID_6687,disease or syndrome,achenbach syndrome,1
1352,C84908,DOID_8456,deficiency disease multiple sulfatase syndrome,choline deficiency disease,0
1353,C84761,DOID_2741,disease hereditary hyperbilirubinemia syndrome,bilirubin metabolic disorder,1
1354,C94358,DOID_13352,behavioral dysfunction mental sadism sexual,ego dystonic orientation sexual,0
1355,C92727,DOID_1574,alcohol arbd birth defect disease related syndrome,abuse alcohol,0
1356,C6092,DOID_11843,carcinoma cell drainage gland lacrimal neoplastic process squamous system,anomaly artery coronary,0
1357,C125705,DOID_0111091,anemia complementation d1 disease fanconi group syndrome,anemia complementation fanci fanconi group,0
1358,C35709,DOID_225,aagenaes disease syndrome,syndrome,0
1359,C6358,DOID_12253,cord stromal neoplasm neoplastic process sex testicular testis tumor,lymphoma testicular testis,0
1360,C3867,DOID_1963,cancer of fallopian tube,carcinoma fallopian tube,1
1361,C5855,DOID_5293,bile duct extrahepatic leiomyoma neoplastic process,bile duct extrahepatic leiomyosarcoma,0
1362,C99041,DOID_14766,agenesis disease renal syndrome,hereditary renal aplasia,1
1363,C6043,DOID_4489,angiosarcoma atriocaval gland hemangioendothelioma hemangiosarcoma malignant mesothelioma neoplastic process thyroid,epithelial malignant mesothelioma,0
1364,C9360,DOID_5599,cell lymphoblastic lymphoma malignant neoplastic precursor process,leukemia lymphoma precursor t lymphoblastic,0
1365,C34373,DOID_332,amyotrophic lateral sclerosis,amyotrophic disease gehrig lateral lou sclerosis,1
1366,C4660,DOID_4957,fibrous hemangiopericytoma meningeal meninges neoplastic process solitary tumor,hemangiopericytoma meninges,1
1367,C26768,DOID_6425,disease disorder eyelid syndrome,carcinoma eyelid,0
1368,C5237,DOID_4118,neoplasm neoplastic neuroendocrine ovarian ovary process,colon neoplasm neuroendocrine,0
1369,C3543,DOID_14546,malignant sphenoid sinus neoplasm,cancer sinus sphenoidal,1
1370,C61269,DOID_14504,cholesterol disease lipidosis niemann pick sphingomyelin syndrome,niemann pick disease,1
1371,C9477,DOID_3069,anaplastic astrocytic astrocytoma grade high high grade iii malignant neoplasm neoplastic no process tumor,astrocytoma cerebral,0
1372,C7359,DOID_6865,adenocarcinoma endometrial endometrium malignant neoplastic otherwise process specify,adenocarcinoma endometrial endometrioid oxyphilic,0
1373,C40366,DOID_6585,breast oncocytic carcinoma,breast carcinoma oncocytic,1
1374,C84596,DOID_3633,disease or syndrome,beta mannosidase beta mannosidosis deficiency lysosomal,1
1375,C123262,DOID_0060699,benign disease familial hypercalcemia hypocalciuric syndrome,familial benign hypocalciuric hypercalcemia,1
1376,C2955,DOID_5672,bowel cancer carcinoma colon colorectal crc intestine large neoplastic no process rectal,cancer intestine large,0
1377,C5973,DOID_7763,carcinoma of supraglottis,carcinoma supraglottis,1
1378,C40366,DOID_6585,breast carcinoma neoplastic oncocytic process,oncocytic breast carcinoma,1
1379,C3153,DOID_162,krukenberg neoplasm neoplastic process tumor,cancer malignant neoplasm primary tumor,0
1380,C4558,DOID_6524,melanoma of ciliary body,body ciliary malignant melanoma,1
1381,C35123,DOID_13095,vertebral artery syndrome,artery insufficiency vertebral,1
1382,C5461,DOID_3234,cell central cns germ neoplasm neoplastic nervous process system tumor,central cns lymphoma nervous primary system,0
1383,C125705,DOID_0111095,anemia complementation d1 disease fanconi group syndrome,anemia complementation fanca fanconi group,0
1384,C98877,DOID_0050815,coloboma disease eye syndrome,adnexa disease eye,0
1385,C26854,DOID_0060230,disease disorder gland pituitary syndrome,basal calcification disease fahr ganglion,0
1386,C3099,DOID_0050542,cancer carcinoma cell hcc hepatocellular hepatoma lihc liver malignant neoplastic primary process,charcot marie tooth cowchock cowck disease syndrome type,0
1387,C9295,DOID_3664,mast cell proliferative disease,cell mast neoplasm tumor,1
1388,C7359,DOID_7664,adenocarcinoma endometrial endometrium malignant neoplastic otherwise process specify,adenocarcinoma endometrial mixed,0
1389,C7566,DOID_4465,breast cancer carcinoma neoplastic process sporadic,carcinoma cell kidney papillary renal sporadic,0
1390,C26866,DOID_225,disease prostatitis syndrome,syndrome,0
1391,C9295,DOID_2226,cell disease mast neoplasm neoplastic no process proliferative tumor,chronic disease myeloproliferative neoplasm,0
1392,C27849,DOID_6865,oxyphilic endometrial endometrioid adenocarcinoma,adenocarcinoma endometrial endometrioid oxyphilic,1
1393,C9295,DOID_14566,cell disease mast neoplasm neoplastic no process proliferative tumor,cell cellular disease neoplasm process proliferation,0
1394,C6483,DOID_1195,atypical decubital disease fasciitis fibroplasia ischemic syndrome,ischemic neuropathy,0
1395,C5569,DOID_7181,benign dermal neurilemmoma,benign dermal neurilemmoma,1
1396,C40387,DOID_7521,breast intraductal myoepitheliosis neoplastic process,breast myoepitheliosis,0
1397,C5145,DOID_319,cord neoplastic neurofibroma process spinal,cord disease spinal,0
1398,C6888,DOID_6723,b2 cell cortical neoplastic no polygonal process thymoma type,ab malignant thymoma type,0
1399,C26854,DOID_53,disease or syndrome,disease gland pituitary,1
1400,C9011,DOID_2658,dermoid,cyst dermoid,1
1401,C5144,DOID_0110802,adenomyoepithelioma benign breast neoplastic process,autosomal cerebral cpsq3 hereditary palsy paraplegia quadriplegic recessive spastic spg50,0
1402,C5846,DOID_3698,mucinous adenocarcinoma of the bile duct,adenocarcinoma bile duct mucinous,1
1403,C6336,DOID_4113,neoplastic process,adenosarcoma corpus uterine,1
1404,C40366,DOID_3610,breast carcinoma neoplastic oncocytic process,breast carcinoma mucinous,0
1405,C27864,DOID_0050291,disease infection parasitic syndrome,disease ichthyosporea infectious parasitic,0
1406,C8712,DOID_7428,neoplastic process,germinoma pineal region,1
1407,C4533,DOID_3540,malignant choroid plexus tumor,cancer choroid plexus,1
1408,C6248,DOID_12001,lymphoma of trachea,lymphoma trachea tracheal,1
1409,C6358,DOID_4757,sex cord stromal tumor of the testis,cord stromal neoplasm sex,1
1410,C39946,DOID_8394,testicular granulosa cell tumor adult type,adult cell granulosa testicular tumor type,1
1411,C5833,DOID_3377,extraskeletal hepatic liver neoplastic osteogenic osteosarcoma process sarcoma,cell osteogenic sarcoma small,0
1412,C4504,DOID_1631,breast malignant mammary neoplasm neoplastic phyllode process tumor,benign breast cystosarcoma phyllode tumor,0
1413,C123262,DOID_0060699,benign disease familial hypercalcemia hypocalciuric syndrome,familial hypocalciuric hypercalcemia,1
1414,C4967,DOID_5604,adult acute lymphoid leukemia,acute adult leukemia lymphocytic,1
1415,C9423,DOID_7081,mixed small cell and squamous cell lung carcinoma,cancer carcinoma cell combine large lung mix small squamous,1
1416,C134952,DOID_0110154,2a charcot marie tooth cmt2a disease syndrome type,hereditary motor and sensory neuropathy iia1,1
1417,C34382,DOID_13382,anemia disease megaloblastic syndrome,grasbeck imerslund syndrome,1
1418,C84596,DOID_3633,beta mannosidosis,beta mannosidase beta mannosidosis deficiency lysosomal,1
1419,C99109,DOID_0050560,disease dystrophy muscular syndrome walker warburg wws,hard syndrome,1
1420,C3502,DOID_6204,adenoma benign cell follicular gland neoplastic process thyroid,adenoma follicular,1
1421,C5396,DOID_6610,angioma bone epithelioid hemangioma neoplastic osseous process,bone epithelioid hemangioma,1
1422,C7376,DOID_7474,diffuse malignant mesothelioma neoplastic pleura pleural process,malignant pleural mesothelioma,1
1423,C27019,DOID_3856,disease disorder male reproductive syndrome system,cancer genital male malignant neoplasm organ reproductive tract,0
1424,C99041,DOID_14766,renal agenesis,adysplasia agenesis aplasia hereditary renal urogenital,1
1425,C98889,DOID_0060731,central congenital disease hypoventilation syndrome,ondine curse,1
1426,C5609,DOID_3691,adenocarcinoma anal gland neoplastic process,adenocarcinoma anal colloid,0
1427,C34918,DOID_823,disease periodontitis syndrome,periapical periodontitis,0
1428,C27357,DOID_9544,cancer hematologic malignancy neoplastic process refractory,cell neoplasm plasma refractory,0
1429,C27445,DOID_8151,appendix l cell glucagon like peptide producing neuroendocrine tumor,appendiceal glucagon like glucagonoma l cell malignant peptide produce tumor,1
1430,C6545,DOID_12253,carcinoma childhood embryonal neoplastic pediatric process testicular testis,lymphoma testicular testis,0
1431,C7157,DOID_5048,gland neoplasm neoplastic neurohypophysis pituitary posterior process tumor,posterior pituitary gland neoplasm,1
1432,C3388,DOID_8463,disease gastric syndrome ulcer,corneal ulcer,0
1433,C34771,DOID_9111,disease kala azar leishmaniasis syndrome visceral,cutaneous diffuse leishmaniasis,0
1434,C39946,DOID_2999,adult cell granulosa neoplastic process testicular tumor type,cell granulosa malignant neoplasm tumor,0
1435,C6358,DOID_2519,cord stromal neoplasm neoplastic process sex testicular testis tumor,disease testicular,0
1436,C27597,DOID_2816,disease iiird nerve oculomotor paralysis syndrome,malignant nerve oculomotor tumor,0
1437,C5166,DOID_11354,breast carcinoma mucoepidermoid neoplastic process,bladder diverticulum stone,0
1438,C6548,DOID_5566,childhood mature neoplastic ovarian ovary pediatric process teratoma,mature teratoma,0
1439,C6601,DOID_5046,granular cell tumor of the mediastinum,cell granular mediastinal myoblastoma,1
1440,C7720,DOID_4948,adenoma gallbladder neoplastic process,carcinoma gallbladder,0
1441,C40284,DOID_0110425,carcinoma cell keratinize neoplastic process squamous vulvar,1a cardiomyopathy cdcd1 cmd1a conduction defect dilate due familial lmna mutation,0
1442,C3178,DOID_0080188,chronic myelomonocytic leukemia cmml,chronic leukemia myelomonocytic,1
1443,C5475,DOID_5516,cancer carcinoma cell gastric neoplastic process squamous stomach,carcinoma cell gastric squamous,1
1444,C125592,DOID_0060468,disease holt oram syndrome,atriodigital dysplasia,1
1445,C5609,DOID_7531,adenocarcinoma of anal glands,adenocarcinoma anal gland,1
1446,C35196,DOID_2474,conjunctivitis disease pseudomembranous syndrome,conjunctivitis vernal,0
1447,C36078,DOID_0060335,anemia disease sideroblastic syndrome,anemia autosomal dominant sideroblastic,0
1448,C7788,DOID_9138,neoplastic process,carcinoma situ stomach,1
1449,C98910,DOID_0060236,cytochrome c deficiency disease oxidase syndrome,deficiency dehydrogenase oxidase xanthine xanthinuria,0
1450,C5669,DOID_3770,blastoma childhood neoplastic pleuropulmonary process pulmonary,fibrosis pulmonary,0
1451,C34540,DOID_14422,dipetalonema infection,dipetalonema dipetalonemiasis disease infectious,1
1452,C3575,DOID_170,cancer endocrine gland malignant neoplasm neoplastic no process tumor,endocrine gland cancer,1
1453,C35264,DOID_4776,disease glomerulonephritis progressive rapidly rpgn syndrome,rapidly progressive glomerulonephritis,1
1454,C9477,DOID_3078,astrocytoma anaplastic,anaplastic astrocytoma grade iii,1
1455,C35467,DOID_543,achenbach disease syndrome,disease dystonia dystonic,0
1456,C4787,DOID_4147,benign digestive gastrointestinal gi neoplasm neoplastic process system tumor,adenoma gastrointestinal gi,0
1457,C4907,DOID_11516,disease or syndrome,disease heart hypertensive,1
1458,C8540,DOID_13081,angioma hemangioma neoplastic process subcutaneous tissue,hemangioma subcutaneous tissue,1
1459,C27207,DOID_5463,acoustic disease disorder nerve no syndrome vestibulocochlear,cochlear disease,0
1460,C27597,DOID_3816,disease iiird nerve oculomotor paralysis syndrome,glossopharyngeal nerve paralysis,0
1461,C27487,DOID_3923,lipomatosis neoplastic process steroid,diffuse lipomatosis,0
1462,C8196,DOID_9072,nasal cavity and paranasal sinus lethal midline granuloma,granuloma lethal midline,1
1463,C40026,DOID_2151,ovarian stromal cancer,epithelial stromal malignant neoplasm ovarian surface,1
1464,C6483,DOID_9600,atypical decubital disease fasciitis fibroplasia ischemic syndrome,fasciitis plantar,0
1465,C97132,DOID_13884,chicken chickenpox disease infection pox syndrome varicella,infection node sick sinus syndrome,0
1466,C6346,DOID_4867,neoplastic process,adenoid carcinoma cervical cystic,1
1467,C7788,DOID_9138,stage 0 stomach carcinoma,carcinoma situ stomach,1
1468,C35704,DOID_11184,acute conjunctivitis contagious disease infective pinkeye syndrome,acute conjunctivitis,0
1469,C3562,DOID_4143,malignant neoplasm neoplastic orbit orbital process tumor,orbital cancer,1
1470,C2955,DOID_0080199,carcinoma of large bowel,carcinoma colorectal,1
1471,C62798,DOID_3978,cardiomyopathy disease restrictive syndrome,cardiomyopathy extrinsic,0
1472,C27888,DOID_4471,carcinoma cell chromophobe classic neoplastic process renal variant,adenocarcinoma carcinoma cell chromophobe kidney renal,0
1473,C2952,DOID_8577,colitis disease syndrome ulcerative,ulcerative colitis,1
1474,C3009,DOID_50,disease disorder endocrine endocrinopathy glandular syndrome system thyroid,disease gland thyroid,0
1475,C2989,DOID_11198,shprintzen syndrome,digeorge syndrome,1
1476,C92197,DOID_10112,behavioral disorder dissociative dysfunction mental,sickness sleep,0
1477,C84748,DOID_0060272,disease hartnup syndrome,hypoplasia pontocerebellar type,0
1478,C9477,DOID_3078,anaplastic astrocytic astrocytoma grade high high grade iii malignant neoplasm neoplastic no process tumor,grade iii astrocytoma,1
1479,C84934,DOID_8869,devic disease neuromyelitis optica syndrome,devics syndrome,1
1480,C6840,DOID_7868,inverted papilloma of maxillary sinus,invert maxillary papilloma sinus,1
1481,C5296,DOID_7915,neoplastic process,canal cervical cord meningioma spinal,1
1482,C4616,DOID_10188,cutaneous lipoma,cutaneous face lipoma lipomatous skin tumor,1
1483,C123413,DOID_0110041,alzheimer behavioral disease dysfunction familial mental type,ad8 alzheimer disease familial,0
1484,C3708,DOID_5874,cell germ neoplasm neoplastic no process tumor,cell germ neoplasm retroperitoneal,0
1485,C137957,DOID_0110645,disease long lqt2 qt syndrome,long lqt2 qt syndrome,1
1486,C26915,DOID_0110776,disease syndrome vitiligo,autosomal hereditary paraplegia recessive spastic spg25 type,0
1487,C129027,DOID_0111097,fanconi anemia complementation group j,anemia complementation fancj fanconi group,1
1488,C3716,DOID_171,primitive neuroectodermal tumor nos,neuroectodermal tumor,1
1489,C34529,DOID_217,disease enamel hypoplasia syndrome,caries enamel,0
1490,C4341,DOID_0050748,marginal zone lymphoma,b cell lymphoma marginal zone,1
1491,C27466,DOID_7697,pancreatic adrenocorticotropic hormone producing tumor,acth hormone pancreatic produce tumor,1
1492,C6529,DOID_5238,benign neoplasm neoplastic pericytic perivascular process tumor,benign perivascular tumor,1
1493,C3564,DOID_5467,malignant conjunctival tumor,cancer conjunctiva conjunctival malignant neoplasm,1
1494,C6584,DOID_8304,palisaded lymph node myofibroblastoma,lymph myofibroblastoma node palisade,1
1495,C118437,DOID_11721,glycogen storage disease vii,disease glycogen storage type vii,1
1496,C34529,DOID_0110066,disease enamel hypoplasia syndrome,1g ai1g aigfs amelogenesis enamel renal enamel renal gingival er fibromatosis gingival hypoplastic ig imperfecta nephrocalcinosis syndrome type,0
1497,C4949,DOID_775,hepatic liver lymphoma neoplastic primary process,intraocular lymphoma primary,0
1498,C85035,DOID_10824,cerebri disease hypertension idiopathic intracranial pseudotumor syndrome,hypertension malignant,0
1499,C6848,DOID_5387,adenocarcinoma ear middle neoplastic process,adenoma ear middle,0
1500,C7928,DOID_6161,cell childhood germ neoplasm neoplastic pediatric process tumor,cell childhood germ mixed testicular tumor,0
1501,C5241,DOID_2996,cell sex cord cord stromal germ mixed neoplasm neoplastic process tumor,mixed germ cell sex cord neoplasm,1
1502,C34996,DOID_13402,cutaneous disease sarcoidosis syndrome,skin sarcoidosis,1
1503,C39976,DOID_7147,adenoma cell neoplastic no process sertoli tumor,ankylose bekhterev disease marie strumpell spondylitis syndrome,0
1504,C6419,DOID_5697,liposarcoma neoplastic ovarian ovary process,liposarcoma ovary,1
1505,C129027,DOID_0111096,anemia complementation disease fanconi group syndrome,anemia complementation fanco fanconi group,0
1506,C5549,DOID_5297,rectal leiomyosarcoma,leiomyosarcoma rectum,1
1507,C62018,DOID_0050823,2nd atrioventricular av block degree disease ii mobitz mo bitz second syndrome type,atrioventricular av block complete third degree,0
1508,C123207,DOID_2615,bladder ectopia exstrophy find vesica,papilloma papillomatosis,0
1509,C39924,DOID_421,macrocystic neoplastic pattern process sac testicular tumor yolk,disease hair,0
1510,C35704,DOID_11213,pinkeye,acute conjunctivitis contagious,1
1511,C3398,DOID_2664,neoplasm of the sweat gland,gland neoplasm sweat,1
1512,C6601,DOID_5046,granular cell neoplasm of mediastinum,cell granular mediastinal myoblastoma,1
1513,C118437,DOID_11721,phosphofructokinase deficiency,disease glycogen storage type vii,1
1514,C5973,DOID_13476,cancer carcinoma neoplastic process supraglottic supraglottis throat,cancer supraglottis,0
1515,C4907,DOID_9427,cardiomegaly disease hypertensive syndrome,encephalopathy hypertensive,0
1516,C3543,DOID_14546,malignant sphenoid sinus tumor,cancer sinus sphenoidal,1
1517,C27357,DOID_2531,cancer hematologic malignancy neoplastic process refractory,cancer hematologic hematopoietic lymphoid system tumor,0
1518,C5532,DOID_2885,benign prostate phyllodes neoplasm,benign phyllode prostate tumor,1
1519,C119734,DOID_0110792,disease disorder nerve neuropathy peripheral syndrome,autosomal dominant hereditary paraplegia spastic spg4 type,0
1520,C26768,DOID_10040,disease disorder eyelid syndrome,eyelid malignant melanoma,0
1521,C9360,DOID_0080147,precursor cell lymphoblastic lymphoma,lymphoblastic lymphoma,1
1522,C114902,DOID_2763,diabetes disease mellitus neonatal permanent syndrome,carcinoma cell ethmoid sinus squamous,0
1523,C5549,DOID_4053,leiomyosarcoma neoplastic process rectal rectum,rectum rhabdomyosarcoma,0
1524,C6848,DOID_4892,neoplastic process,adenocarcinoma ear middle,1
1525,C4504,DOID_3016,breast malignant mammary neoplasm neoplastic phyllode process tumor,malignant cystosarcoma phyllodes,1
1526,C134952,DOID_0110154,2a charcot marie tooth cmt2a disease syndrome type,cmt2a1,1
1527,C35809,DOID_6686,disease or syndrome,achard syndrome,1
1528,C9335,DOID_162,breast malignant neoplasm neoplastic process tumor,cancer malignant neoplasm primary tumor,0
1529,C84744,DOID_1415,atrophy disease gyrate syndrome,gyrate atrophy,1
1530,C7910,DOID_5396,prolactin secreting tumor of the pituitary gland,carcinoma gland malignant neoplasm pituitary produce prolactin prolactin producing tumor,1
1531,C27466,DOID_6276,acth acth producing adrenocorticotropic cushing ectopic hormone neoplasm neoplastic net neuroendocrine pancreatic process produce syndrome tumor,acth gland malignant neoplasm pituitary produce,0
1532,C7788,DOID_9138,stage 0 gastric cancer ajcc v7,carcinoma situ stomach,1
1533,C6903,DOID_5507,ependymoma neoplastic process tanycytic,cell clear ependymoma,0
1534,C2955,DOID_0080199,bowel cancer carcinoma colon colorectal crc intestine large neoplastic no process rectal,carcinoma colorectal,1
1535,C5461,DOID_4439,germ cell neoplasm of cns,cell central germ nervous system tumor,1
1536,C84802,DOID_4,disease kluver bucy syndrome,disease,0
1537,C5141,DOID_6581,apocrine breast carcinoma ductal neoplastic process,breast apocrine carcinoma,1
1538,C35030,DOID_3168,disease sparganosis syndrome,cell neoplasm squamous,0
1539,C3543,DOID_14546,malignant sphenoidal sinus tumor,cancer sinus sphenoidal,1
1540,C5484,DOID_10536,malignant granular cell neoplasm of stomach,cell gastric granular malignant tumor,1
1541,C7788,DOID_9138,gastric carcinoma in situ,carcinoma situ stomach,1
1542,C98871,DOID_0090129,disease or syndrome,1a carnitine cpt cpt1a deficiency hepatic ia l cpt1 palmitoyl palmitoyltransferase transferase type,1
1543,C7888,DOID_4906,adenocarcinoma of small bowel,adenocarcinoma intestine small,1
1544,C9477,DOID_3078,anaplastic astrocytic astrocytoma grade high high grade iii malignant neoplasm neoplastic no process tumor,anaplastic astrocytoma,1
1545,C35419,DOID_10199,axilla axillary lipoma neoplastic process,breast lipoma,0
1546,C60641,DOID_3973,carcinoma colon medullary neoplastic process,carcinoma medullary thyroid,0
1547,C114902,DOID_0060639,diabetes disease mellitus neonatal permanent syndrome,permanent diabetes mellitus of infancy,1
1548,C6483,DOID_9601,atypical decubital disease fasciitis fibroplasia ischemic syndrome,ischemic fasciitis,1
1549,C61246,DOID_0060705,disease duncan lymphoproliferative syndrome x linked,lymphoproliferative syndrome x linked xlp1,1
1550,C35620,DOID_8536,dermatitis disease herpes simplex syndrome,herpes zoster,0
1551,C2955,DOID_9256,bowel cancer carcinoma colon colorectal crc intestine large neoplastic no process rectal,cancer colorectal,0
1552,C6548,DOID_6229,childhood ovarian mature teratoma,childhood mature ovary teratoma,1
1553,C9335,DOID_1612,breast malignant neoplasm neoplastic process tumor,primary breast cancer,1
1554,C94358,DOID_12124,behavioral dysfunction mental sadism sexual,episcleritis fugax periodica,0
1555,C84758,DOID_14735,disease or syndrome,angioedema hereditary,1
1556,C3308,DOID_0050773,tumor of the paraganglion,chemodectoma paraganglioma,1
1557,C35434,DOID_14336,disease due erythropoetin excess polycythaemia production syndrome,estrogen excess,0
1558,C5475,DOID_5516,squamous cell carcinoma of the stomach,carcinoma cell gastric squamous,1
1559,C35079,DOID_3225,disease disorder syndrome trachea tracheal,disease tracheal,1
1560,C4533,DOID_5648,choroid malignant neoplasm neoplastic plexus process tumor,carcinoma choroid plexus,0
1561,C3085,DOID_271,angioma benign hemangioma neoplastic no process,hemangioma liver,0
1562,C7910,DOID_5396,neoplastic process,carcinoma gland malignant neoplasm pituitary produce prolactin prolactin producing tumor,1
1563,C4787,DOID_0050624,benign gi neoplasm,benign gastrointestinal neoplasm system,1
1564,C27896,DOID_0110770,disease multicentric reticulohistiocytosis syndrome,5b amyotrophy autosomal dhmn5b distal dominant foot hand hereditary motor neuropathy paraplegia paraplegia amyotrophy silver spastic spg17 syndrome type,0
1565,C84909,DOID_2377,atrophy disease multiple shy drager syndrome system,multiple sclerosis,0
1566,C9423,DOID_3151,carcinoma cell combine lung mixed neoplastic process small squamous,carcinoma cell skin squamous,0
1567,C3867,DOID_3706,cancer carcinoma fallopian neoplastic process tube,adenocarcinoma fallopian tube,0
1568,C4191,DOID_2682,adenoma intracystic neoplastic papillary papilloma process,intracystic papillary adenoma,1
1569,C6569,DOID_2673,childhood cmn congenital malignant mesoblastic neoplastic nephroma process stromal,cystic nephroma,0
1570,C6897,DOID_7571,cystic differentiate kidney malignant multilocular neoplastic nephroblastoma nephroma partially process,malignant cystic nephroma,1
1571,C6346,DOID_4867,adenoid cystic carcinoma of the cervix,adenoid carcinoma cervical cystic,1
1572,C2860,DOID_1786,adrenal rest neoplasm,adrenal rest tumor,1
1573,C6336,DOID_4113,adenosarcoma body corpus mullerian mu llerian neoplastic process uterine uterus,uterine corpus adenosarcoma,1
1574,C5041,DOID_11235,disorder find impairment impediment manifestation speech,adhesive chronic medium otitis,0
1575,C35620,DOID_9123,dermatitis disease herpes simplex syndrome,herpes simplex virus dermatitis,1
1576,C3868,DOID_12318,gastrointestinal gist neoplasm neoplastic no process stromal tumor,corneal dystrophy granular,0
1577,C4527,DOID_262,hemangiopericytoma of kidney,hemangiopericytoma kidney,1
1578,C5270,DOID_5057,cerebellar cerebellum meningioma neoplastic papillary process,papillary meningioma of the cerebellum,1
1579,C35434,DOID_2839,disease or syndrome,erythropoietin polycythemia,1
1580,C2989,DOID_11198,digeorge s syndrome,digeorge syndrome,1
1581,C3926,DOID_8274,angioma neoplastic process serpiginosum,angioma synovial,0
1582,C27576,DOID_14202,childhood dermatomyositis disease jdm juvenile syndrome,adult dermatomyositis,0
1583,C118460,DOID_1647,blount disease syndrome,breast cancer female quadrant upper inner,0
1584,C7910,DOID_5396,prolactin producing pituitary gland tumor,carcinoma gland malignant neoplasm pituitary produce prolactin prolactin producing tumor,1
1585,C98640,DOID_0050726,disease syndrome tyrosinemia,hepatorenal type tyrosinemia,0
1586,C4504,DOID_3016,malignant phyllodes breast tumor,breast cystosarcoma malignant phyllode tumor,1
1587,C7566,DOID_8029,breast cancer carcinoma neoplastic process sporadic,breast cancer sporadic,1
1588,C39807,DOID_6067,carcinoma cell kidney malignant mucinous neoplastic process renal spindle tubular,malignant mucinous neoplasm ovarian,0
1589,C26874,DOID_4645,detach detachment disease retina retinal syndrome,cancer malignant neoplasm retina retinal,0
1590,C5265,DOID_2891,gland lymphoma neoplastic primary process thyroid,adenoma thyroid,0
1591,C3424,DOID_980,bourneville complex disease sclerosis syndrome tsc tuberous,choroidal sclerosis,0
